Device_Mac,AP_Mac,Up_Time,Down_Time,Duration
00:08:22:0e:a6:fb,487A-DAB9-4DC0,2020-12-25 14:49:12,2020-12-25 15:04:10,898
00:0a:f5:52:fc:44,5866-BAA9-5E60,2020-12-25 14:49:12,2020-12-25 15:04:10,898
00:16:eb:60:44:56,5866-BAA8-7E00,2020-12-25 14:49:12,2020-12-25 15:04:10,898
00:1e:64:ef:1f:c8,70F9-6DB8-5180,2020-12-25 14:48:28,2020-12-25 15:04:10,942
00:21:5c:fc:55:1c,307B-AC9B-C180,2020-12-25 14:48:28,2020-12-25 15:04:10,942
00:21:6a:fe:b3:93,70BA-EFBD-F5C0,2020-12-25 14:48:28,2020-12-25 15:04:10,942
00:26:c7:54:2c:f4,70BA-EFCF-9B00,2020-12-25 14:49:12,2020-12-25 15:04:10,898
00:26:c7:ec:7c:72,70BA-EFCF-DDA0,2020-12-25 14:48:28,2020-12-25 15:04:10,942
00:27:15:35:6d:52,70F9-6D73-6C20,2020-12-25 14:48:28,2020-12-25 15:04:10,942
00:28:f8:1c:e4:36,5866-BAA8-8340,2020-12-25 14:49:12,2020-12-25 15:04:10,898
00:28:f8:72:ac:fe,5866-BAA8-A080,2020-12-25 14:49:12,2020-12-25 15:04:10,898
00:28:f8:96:f5:00,70BA-EFBF-82C0,2020-12-25 14:48:28,2020-12-25 15:04:10,942
00:28:f8:a5:70:44,70F9-6DD3-D840,2020-12-25 14:48:28,2020-12-25 15:04:10,942
00:28:f8:f3:b3:71,70F9-6DD3-F8E0,2020-12-25 14:48:28,2020-12-25 15:04:10,942
00:36:76:02:53:7e,70BA-EFCB-FE80,2020-12-25 14:49:12,2020-12-25 15:04:10,898
00:36:76:1c:94:a7,5866-BAA8-9F00,2020-12-25 14:49:12,2020-12-25 15:04:10,898
00:42:38:ac:e4:5f,70BA-EFCB-EFE0,2020-12-25 14:49:12,2020-12-25 15:04:10,898
00:42:38:af:27:3d,7425-8A50-5BE0,2020-12-25 14:49:30,2020-12-25 15:04:10,880
