Device_Mac,AP_Mac,Up_Time,Down_Time,Duration
0e:b4:3d:fd:12:56,5869.6ccd.6c8c,2020-12-06 16:00:00,2020-12-06 16:00:48,48
0e:b4:3d:fd:12:56,5869.6ccd.6d10,2020-12-06 16:01:25,2020-12-06 16:01:25,0
0e:b4:3d:fd:12:56,5869.6ccd.6c08,2020-12-06 16:02:17,2020-12-06 16:02:17,0
c0:b5:cd:de:64:34,5869.6ccd.6c92,2020-12-06 16:00:00,2020-12-06 15:59:58,-2
c0:b5:cd:de:64:34,5869.6ccd.6c92,2020-12-06 15:59:58,2020-12-06 16:00:15,17
c0:b5:cd:de:64:34,5869.6ccd.613c,2020-12-06 16:00:15,2020-12-06 16:02:59,164
34:c9:3d:d7:3b:ec,8005.881e.3830,2020-12-06 15:59:59,2020-12-06 16:00:03,4
34:c9:3d:d7:3b:ec,8005.881e.3830,2020-12-06 16:00:07,2020-12-06 16:22:31,1344
34:c9:3d:d7:3b:ec,8005.881e.3830,2020-12-06 16:23:18,2020-12-06 16:29:14,356
ae:9c:81:09:11:71,5869.6ccd.6bba,2020-12-06 16:00:00,2020-12-06 15:59:59,-1
4a:85:80:d8:42:95,0074.9c77.1584,2020-12-06 16:00:00,2020-12-06 16:00:00,0
4a:85:80:d8:42:95,0074.9c77.1584,2020-12-06 16:00:00,2020-12-06 16:00:10,10
4a:85:80:d8:42:95,0074.9c77.1e70,2020-12-06 16:00:10,2020-12-06 16:02:12,122
92:63:2c:91:df:62,5869.6ccd.6c7e,2020-12-06 16:00:00,2020-12-06 16:00:18,18
28:39:26:56:6d:0d,5869.6ccd.6d3c,2020-12-06 16:00:01,2020-12-06 17:00:00,3599
20:69:80:62:a7:e2,5869.6ccd.6314,2020-12-06 16:00:00,2020-12-06 15:59:59,-1
20:69:80:62:a7:e2,5869.6ccd.6314,2020-12-06 15:59:59,2020-12-06 16:00:04,5
20:69:80:62:a7:e2,5869.6ccd.6d7c,2020-12-06 16:00:04,2020-12-06 16:00:35,31
20:69:80:62:a7:e2,5869.6ccd.6f46,2020-12-06 16:00:35,2020-12-06 16:01:07,32
20:69:80:62:a7:e2,5869.6ccd.636a,2020-12-06 16:01:07,2020-12-06 16:01:33,26
20:69:80:62:a7:e2,5869.6ccd.6ec0,2020-12-06 16:01:33,2020-12-06 16:02:03,30
20:69:80:62:a7:e2,5869.6ccd.6f5e,2020-12-06 16:02:03,2020-12-06 16:08:39,396
88:44:77:17:52:63,8005.885a.b426,2020-12-06 16:00:00,2020-12-06 15:59:59,-1
88:44:77:17:52:63,8005.885a.b426,2020-12-06 15:59:59,2020-12-06 17:00:00,3601
b6:2d:3b:22:04:fd,5869.6ccd.6584,2020-12-06 16:00:00,2020-12-06 15:59:59,-1
b6:2d:3b:22:04:fd,5869.6ccd.6584,2020-12-06 15:59:59,2020-12-06 16:00:07,8
b6:2d:3b:22:04:fd,5869.6ccd.6c58,2020-12-06 16:00:07,2020-12-06 16:00:33,26
b6:2d:3b:22:04:fd,5869.6ccd.6308,2020-12-06 16:00:33,2020-12-06 16:00:41,8
b6:2d:3b:22:04:fd,5869.6ccd.6b78,2020-12-06 16:00:41,2020-12-06 16:01:02,21
b6:2d:3b:22:04:fd,5869.6cc9.d7ea,2020-12-06 16:01:02,2020-12-06 16:01:27,25
b6:2d:3b:22:04:fd,5869.6ccd.6a26,2020-12-06 16:01:27,2020-12-06 16:01:36,9
b6:2d:3b:22:04:fd,5869.6ccd.6e76,2020-12-06 16:01:36,2020-12-06 16:02:06,30
b6:2d:3b:22:04:fd,5869.6ccd.6f46,2020-12-06 16:02:06,2020-12-06 16:02:16,10
b6:2d:3b:22:04:fd,5869.6ccd.6c96,2020-12-06 16:02:16,2020-12-06 16:02:55,39
88:f8:72:a4:88:2f,5869.6ccd.6584,2020-12-06 16:00:00,2020-12-06 15:59:59,-1
88:f8:72:a4:88:2f,5869.6ccd.6584,2020-12-06 15:59:59,2020-12-06 16:00:09,10
88:f8:72:a4:88:2f,5869.6ccd.6c8e,2020-12-06 16:00:09,2020-12-06 16:00:22,13
88:f8:72:a4:88:2f,5869.6ccd.6c96,2020-12-06 16:01:20,2020-12-06 16:01:49,29
88:f8:72:a4:88:2f,5869.6ccd.636a,2020-12-06 16:01:49,2020-12-06 16:01:58,9
88:f8:72:a4:88:2f,5869.6ccd.6ece,2020-12-06 16:01:58,2020-12-06 16:02:26,28
